economy,YR2019,YR2020,YR2021
BGR,1.9099999666214,2.46000003814697,1.97000002861023
EST,2.85999989509583,4.76999998092651,3.44000005722046
HUN,1.53999996185303,1.85000002384186,1.74000000953674
LTU,2.90000009536743,4.09000015258789,4.03999996185303
LVA,3.61999988555908,5.07999992370605,4.61999988555908
MDA,2.0,1.73000001907349,1.22000002861023
POL,2.0,1.95000004768372,1.76999998092651
ROU,1.57000005245209,2.23000001907349,2.08999991416931
RUS,4.42999982833862,5.57000017166138,4.65999984741211
UKR,7.05999994277954,7.98999977111816,9.02999973297119
